date,USDCHF,AUDUSD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.02.25,0.0,-71.99999999999429,-60.00000000000449,-119.00000000000244,-171.00000000001003,-89.00000000000574,-125.99999999999278,-121.00000000000443,-283.99999999999534,-331.999999999999,-105.99999999999454,-140.0000000000068,-146.99999999998602,-69.00000000000261,-93.99999999999409,-88.00000000000807,-91.99999999999208,-85.99999999999719,-93.00000000000975,,-2289.0
2019.02.25,127.99999999999478,-187.00000000000384,-43.999999999999595,-252.99999999999213,-160.00000000000458,-91.00000000000774,-263.0000000000021,-126.99999999999933,-229.99999999999687,-624.0000000000023,-177.99999999999727,-330.0000000000081,-46.999999999997044,-96.00000000000364,-281.9999999999965,-115.0000000000091,-254.99999999999412,-46.00000000000159,39.00000000001125,,-3161.0000000000095
2019.02.25,124.99999999999733,-166.99999999999494,-2.000000000002,-194.99999999998963,-190.00000000000128,-118.00000000000699,-236.00000000000287,-102.00000000000209,-218.00000000000708,-426.00000000001523,-210.99999999999852,-232.99999999999432,58.000000000002494,-129.0000000000049,-259.9999999999909,-82.99999999999841,-207.99999999999707,5.999999999994898,188.9999999999947,,-2400.000000000017
2019.02.25,97.9999999999981,-229.00000000000142,-46.999999999997044,-116.00000000000499,-170.00000000000347,-86.0000000000083,-275.000000000003,-119.99999999999788,-99.00000000000463,-538.0000000000163,-246.9999999999999,-323.99999999999096,60.99999999999994,-131.00000000000023,-334.0000000000032,-148.00000000001035,-278.9999999999959,-45.000000000006146,214.00000000000307,,-2815.0000000000427
2019.02.25,92.99999999999864,-243.00000000000432,-136.00000000000279,-117.99999999999588,-188.9999999999947,-104.99999999999955,-287.9999999999994,-202.0000000000022,-151.00000000001222,-581.0000000000093,-293.99999999999693,-330.0000000000081,-96.00000000000719,-153.99999999999636,-358.99999999999466,-255.00000000000966,-281.99999999999335,-143.9999999999997,140.0000000000068,,-3694.0000000000205
2019.02.25,51.000000000001044,-260.00000000000466,-178.99999999999582,-119.00000000000244,-204.00000000000418,-89.00000000000574,-292.9999999999988,-226.99999999999943,-107.99999999999699,-567.0000000000064,-376.0000000000048,-327.99999999999494,-150.00000000000568,-201.00000000000762,-415.9999999999968,-307.00000000000216,-319.99999999999807,-211.00000000000563,127.00000000001043,,-4177.00000000002
2019.02.25,51.99999999999649,-258.9999999999981,-195.00000000000074,-100.0000000000112,-178.99999999999582,-71.00000000000995,-273.000000000001,-231.99999999999886,-100.0000000000112,-527.0000000000108,-280.00000000000114,-302.0000000000023,-178.99999999999582,-129.99999999999545,-352.00000000000387,-277.000000000001,-308.9999999999926,-214.99999999999852,78.00000000000028,,-3850.000000000032
2019.02.25,31.000000000003247,-265.0000000000041,-217.99999999999596,-83.9999999999952,-170.00000000000347,-73.00000000000084,-268.99999999999704,-245.0000000000063,-120.99999999999334,-578.0000000000118,-269.999999999996,-304.9999999999997,-239.99999999999577,-135.99999999999568,-343.9999999999941,-301.00000000000193,-280.9999999999979,-224.9999999999974,49.00000000001015,,-4044.9999999999727
2019.02.25,42.999999999993044,-197.00000000000273,-160.00000000000458,-79.99999999999119,-131.99999999999878,-59.000000000009045,-204.99999999999963,-189.00000000000583,-73.99999999999629,-390.0000000000015,-182.00000000000216,-215.00000000000963,-157.00000000000713,-85.00000000000796,-237.99999999999955,-207.00000000000784,-234.99999999999633,-184.00000000000637,56.99999999999594,,-2889.0000000000573
2019.02.25,48.99999999999905,-165.00000000000404,-124.99999999999733,-103.00000000000864,-127.99999999999478,-57.00000000000705,-176.99999999999383,-158.99999999999804,-65.00000000000395,-316.0000000000052,-167.99999999999216,-158.99999999999804,-90.99999999999665,-79.9999999999983,-209.00000000000318,-174.0000000000066,-185.00000000000182,-136.00000000000279,-21.999999999988695,,-2470.0000000000014
2019.02.25,3.999999999992898,-78.99999999999574,-75.00000000000284,-100.0000000000112,-110.99999999999443,-29.000000000001247,-92.99999999999864,-109.00000000000354,-22.0000000000109,-148.00000000001478,-76.99999999999818,-5.999999999994898,-15.999999999993797,4.0000000000048885,-78.00000000000296,-76.99999999999818,-124.99999999999733,-109.00000000000354,-32.0000000000098,,-1278.0000000000343
2019.02.25,-4.999999999999449,-124.00000000000189,-95.00000000000064,-25.00000000000835,-69.9999999999923,17.000000000000348,-98.99999999999353,-96.00000000000719,14.000000000002899,-195.00000000001182,-103.9999999999992,-66.00000000001049,-21.999999999988695,19.99999999999602,-106.99999999999932,-88.00000000000807,-171.99999999999437,-131.99999999999878,29.999999999996696,,-1319.0000000000182
