date,USDCHF,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,empty,sum
2021.10.18,36.999999999998145,22.999999999996135,8.999999999992347,17.000000000000348,77.00000000001594,78.00000000000028,161.00000000000136,28.000000000005798,45.000000000006146,72.0000000000054,31.000000000003247,199.99999999997797,-129.00000000000134,-147.00000000000824,-61.99999999998429,-83.99999999998897,45.000000000001705,37.99999999999359,,439.00000000001546
2021.10.18,90.99999999999665,-20.000000000010232,26.999999999999247,151.00000000000114,149.00000000002134,89.00000000000574,109.00000000000887,26.999999999999247,48.99999999999905,225.00000000000853,2.000000000002,245.99999999999068,-97.9999999999981,-101.00000000001774,206.00000000001728,-40.99999999999682,-45.000000000001705,129.00000000000134,,1195.0000000000264
2021.10.18,17.000000000000348,-103.00000000000864,178.99999999999582,248.99999999999923,139.00000000000023,29.00000000001235,-123.99999999999523,46.00000000000159,133.00000000000534,233.00000000000543,40.00000000000669,144.99999999999514,65.99999999998829,150.99999999999002,397.0000000000029,157.0000000000107,-283.9999999999918,227.99999999999488,,1698.0000000000132
2021.10.18,19.999999999997797,-81.00000000000307,95.00000000000064,200.99999999999562,189.00000000001694,34.000000000000696,-102.99999999999443,0.0,55.000000000005045,190.00000000000128,21.999999999999797,299.99999999998914,-175.00000000001404,-30.0000000000189,295.0000000000008,85.99999999999852,-171.99999999999704,180.99999999999784,,1106.9999999999768
2021.10.18,4.999999999999449,-60.000000000002274,162.99999999999093,222.99999999999542,214.00000000000307,31.000000000003247,-96.9999999999942,7.0000000000014495,136.99999999999824,202.9999999999976,2.000000000002,375.9999999999986,-121.00000000001555,64.99999999998174,310.0000000000103,63.00000000000239,-230.00000000000398,271.9999999999945,,1562.9999999999632
2021.10.18,60.99999999999994,-79.00000000000773,108.99999999999244,139.00000000000023,249.00000000001032,53.00000000001415,-43.99999999999693,16.0000000000049,128.00000000000588,164.00000000000858,1.0000000000065512,410.99999999998363,-177.00000000000495,8.999999999992347,174.00000000000747,35.0000000000108,-185.00000000000227,251.99999999999667,,1316.000000000022
2021.10.18,97.9999999999981,-8.000000000009777,-12.000000000000899,73.00000000000084,216.00000000001617,55.000000000005045,76.99999999999818,-12.999999999996348,46.00000000000159,130.0000000000079,26.000000000003798,428.9999999999905,-370.00000000000364,-187.00000000000384,82.00000000000429,-91.99999999999875,6.000000000000227,175.99999999999838,,732.0000000000119
2021.10.18,140.0000000000068,3.0000000000001137,-26.999999999999247,90.99999999999665,199.00000000001583,31.000000000003247,141.00000000000534,21.00000000000435,60.00000000000449,175.99999999999838,19.00000000000235,322.00000000000006,-283.99999999999534,-114.0000000000141,237.00000000002052,-99.99999999999432,28.999999999996362,151.9999999999966,,1096.0000000000482
2021.10.18,109.99999999999899,131.9999999999908,1.999999999990898,58.000000000002494,117.00000000001154,41.000000000002146,243.99999999999977,39.00000000000014,65.99999999999939,124.00000000000189,78.00000000000028,175.99999999999838,-151.9999999999966,-117.00000000001154,91.00000000001884,-155.00000000000114,94.0000000000083,136.00000000000279,,1084.0000000000175
2021.10.18,104.00000000000409,134.00000000000034,-15.00000000000945,7.9999999999968985,75.00000000000284,46.0000000000127,240.99999999999966,11.00000000000545,46.00000000000159,75.00000000000284,111.00000000000554,186.99999999998164,-143.00000000000423,-173.00000000000094,-29.999999999996696,-186.9999999999976,115.99999999999966,146.99999999999713,,753.0000000000015
2021.10.18,85.00000000000173,177.99999999999727,43.999999999999595,97.00000000000264,90.00000000001229,48.000000000003595,265.00000000000057,23.00000000000635,89.00000000000574,146.00000000000168,106.00000000000608,178.99999999999582,-53.00000000001415,-77.00000000001594,130.0000000000079,-187.99999999998818,79.00000000000773,187.9999999999993,,1429.0000000000302
2021.10.18,102.99999999999754,100.99999999999909,12.999999999996348,148.0000000000037,124.00000000001299,49.00000000001015,204.00000000000773,26.999999999999247,70.0000000000034,204.99999999999963,82.99999999999974,217.99999999998488,-144.99999999999514,-118.00000000001809,274.00000000001864,-140.99999999999113,57.00000000000216,163.99999999999747,,1436.0000000000284
2021.10.18,172.00000000000549,-76.99999999999818,-97.00000000000264,-7.0000000000014495,117.00000000001154,63.99999999999739,105.00000000000398,7.0000000000014495,23.00000000000635,109.99999999999899,101.00000000000664,259.9999999999936,-273.0000000000121,-252.0000000000078,16.000000000016,-91.99999999999875,49.99999999999716,121.99999999999989,,349.0000000000176
2021.10.18,185.00000000000182,-139.00000000001,-101.00000000000664,15.999999999993797,134.00000000001188,62.000000000006494,55.00000000000682,11.00000000000545,30.000000000007798,141.99999999999767,84.0000000000063,269.9999999999925,-276.00000000000955,-230.00000000001907,100.0000000000112,-47.99999999998761,7.000000000005002,125.99999999999278,,428.00000000000665
2021.10.18,179.00000000000693,-76.00000000000762,-107.00000000000153,-17.999999999995797,154.0000000000097,52.000000000007596,115.99999999999966,-7.9999999999968985,18.0000000000069,104.99999999999955,60.00000000000449,338.99999999997823,-334.9999999999964,-241.00000000000233,21.00000000000435,-117.999999999995,61.99999999999761,134.99999999999625,,338.0000000000156
2021.10.18,212.00000000000108,-91.99999999999875,-117.00000000000044,-56.0000000000005,182.0000000000155,63.000000000013046,146.0000000000008,17.000000000000348,36.999999999998145,95.00000000000064,60.00000000000449,320.9999999999935,-327.00000000001063,-218.00000000000708,-28.999999999990145,-109.99999999999943,63.00000000000239,126.99999999999933,,374.00000000002234
2021.10.18,206.00000000000617,-102.00000000000387,-87.00000000000374,-51.000000000001044,138.0000000000159,60.99999999999994,121.00000000000932,9.00000000000345,55.000000000005045,94.00000000000519,84.0000000000063,279.99999999999136,-211.00000000000563,-171.00000000001003,-25.999999999992696,-102.99999999999443,21.000000000000796,166.99999999999494,,485.000000000027
