date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,AUDCAD,AUDNZD,empty,sum
2019.08.19,-144.99999999999514,-51.000000000001044,24.000000000001798,-49.000000000006594,26.0000000000149,-7.9999999999968985,-194.99999999998963,-221.00000000000364,-164.99999999999292,-90.99999999999665,-28.000000000005798,131.99999999999878,86.0000000000083,-177.00000000000495,-237.99999999999955,32.999999999994145,-72.0000000000054,-13.999999999991797,98.99999999998244,,-1053.9999999999898
2019.08.19,-158.99999999999804,-30.0000000000189,1.0000000000065512,-46.00000000000648,119.00000000000244,5.999999999994898,-167.00000000000603,-200.00000000000284,-56.99999999999594,-86.99999999999264,-2.999999999997449,136.99999999999824,139.00000000000023,-4.000000000004,-192.00000000000728,109.00000000000354,22.999999999995246,-102.00000000000209,134.99999999999625,,-378.00000000003433
2019.08.19,-175.99999999999838,-19.00000000001345,45.99999999999049,-120.00000000000455,80.99999999999774,-12.999999999996348,-243.99999999999977,-307.9999999999927,-168.00000000000148,-137.9999999999937,105.99999999999498,188.9999999999947,59.000000000009045,-43.999999999999595,-319.9999999999932,129.00000000000134,-66.00000000001049,-97.00000000000264,146.99999999998602,,-956.000000000032
2019.08.19,-229.99999999999687,-89.00000000000574,25.999999999992696,-189.00000000000716,94.00000000001629,-51.000000000001044,-289.9999999999903,-323.99999999999807,-207.00000000000162,-195.9999999999962,176.99999999999383,117.00000000000044,171.99999999999437,-96.00000000000719,-378.0000000000001,112.000000000001,8.999999999992347,-129.00000000000134,117.99999999999588,,-1354.0000000000186
2019.08.19,-249.99999999999466,-109.00000000000354,-2.999999999997449,-145.00000000001023,62.000000000006494,-16.0000000000049,-276.9999999999939,-256.0000000000002,-241.99999999999778,-201.99999999999108,161.00000000000003,79.99999999999119,154.99999999999403,-147.00000000000824,-304.00000000000205,39.00000000001125,26.999999999999247,-95.00000000000064,164.99999999999292,,-1357.0000000000095
2019.08.19,-270.0000000000036,-111.00000000001664,-4.000000000004,-155.00000000000114,75.00000000000284,-14.000000000002899,-299.99999999998914,-242.999999999995,-251.99999999999667,-235.99999999999176,170.00000000000347,81.9999999999932,182.99999999999983,-104.99999999999955,-311.9999999999976,52.000000000007596,72.0000000000054,-129.9999999999968,196.99999999998053,,-1301.000000000002
2019.08.19,-285.9999999999974,-34.000000000000696,-45.99999999999049,-124.00000000000944,76.0000000000094,36.0000000000027,-273.9999999999965,-197.00000000000273,-261.0000000000001,-206.99999999999054,129.00000000000134,112.99999999999643,92.00000000000318,-96.00000000000719,-230.99999999999454,-0.9999999999843467,39.999999999995595,-80.99999999999774,214.99999999998744,,-1136.9999999999754
2019.08.19,-246.99999999999721,42.999999999993044,-15.00000000000945,-79.9999999999983,121.00000000001555,82.00000000000429,-263.99999999999756,-194.00000000000261,-209.9999999999991,-157.99999999999147,61.999999999995396,186.99999999999272,28.000000000005798,-45.000000000006146,-210.99999999999852,85.00000000000173,-60.99999999999994,-73.99999999999629,257.99999999998045,,-693.0000000000076
2019.08.19,-273.9999999999965,48.99999999998794,-35.999999999991594,-85.00000000000796,130.0000000000079,87.00000000000374,-268.9999999999859,-167.99999999999216,-224.000000000002,-190.00000000000128,75.00000000000284,174.99999999999181,31.000000000003247,-5.000000000010552,-197.00000000000273,72.0000000000054,4.000000000004,-102.00000000000209,285.00000000000193,,-641.9999999999839
2019.08.19,-236.00000000000287,36.999999999998145,-2.999999999997449,4.9999999999954525,141.99999999999767,114.99999999999844,-261.0000000000001,-118.99999999999977,-187.9999999999993,-134.99999999999625,21.999999999999797,191.99999999999218,60.000000000015596,-97.00000000001374,-132.000000000005,130.0000000000079,-119.00000000000244,-68.99999999999685,286.99999999999284,,-369.0000000000158
