date,USDCHF,GBPUSD,USDJPY,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.01.30,-107.99999999999699,-173.00000000000094,-146.0000000000008,-20.0000000000089,-53.00000000000304,-94.0000000000083,-145.00000000000622,-108.00000000000809,-191.99999999999218,-173.00000000000094,-23.00000000001745,-134.99999999999625,-55.000000000005045,-130.00000000000966,-137.00000000000045,-159.9999999999966,-157.99999999999147,-82.00000000000429,-80.00000000001339,,-2172.0000000000605
2017.01.30,-131.00000000000333,-152.99999999998093,-151.00000000001046,19.999999999997797,-53.00000000000304,-55.00000000000682,-133.00000000000534,-155.00000000000514,-221.99999999999997,-113.99999999999189,51.99999999998539,43.999999999999595,-72.99999999998974,-126.00000000000477,-164.00000000000148,-149.99999999999147,-75.9999999999983,-14.999999999998348,-160.00000000000458,,-1815.0000000000125
2017.01.30,-168.99999999999693,-191.99999999999218,-185.00000000000227,-19.00000000000235,-71.99999999999429,-79.00000000000773,-131.99999999999878,-140.0000000000068,-229.99999999999687,-42.999999999993044,62.99999999999084,114.99999999999844,-68.00000000000139,-131.00000000000023,-153.0000000000058,-153.99999999999636,-83.9999999999952,9.00000000000345,-153.00000000000313,,-1817.0000000000005
2017.01.30,-139.00000000000023,130.0000000000079,9.999999999990905,-35.00000000000725,-56.0000000000005,76.99999999999818,-114.00000000000298,-108.00000000000809,-207.00000000000162,377.9999999999894,84.99999999997954,140.99999999999113,-113.00000000000753,13.999999999995794,-16.999999999995907,-21.99999999999136,-125.99999999999278,21.00000000000435,-121.00000000001555,,-202.00000000006654
2017.01.30,-94.00000000000519,92.00000000000318,9.000000000000341,-67.00000000000594,-66.99999999999484,11.999999999986244,-106.00000000000608,-48.000000000003595,-166.99999999999494,421.0000000000047,113.99999999999189,265.99999999998846,-296.0000000000074,3.0000000000001137,45.000000000001705,13.00000000000523,-159.9999999999935,-29.000000000001247,-151.00000000001222,,-210.00000000004306
2017.01.30,-85.00000000000173,39.00000000001125,54.99999999999261,-52.000000000007596,-9.00000000000345,38.99999999998727,-86.0000000000083,-53.999999999998494,-120.99999999999334,319.0000000000026,173.00000000000094,268.0000000000016,-279.00000000000705,45.99999999999227,46.999999999997044,58.000000000006935,-122.99999999999534,-11.00000000000545,-157.00000000000713,,66.99999999996467
2017.01.30,-56.0000000000005,76.0000000000094,92.99999999998931,-45.000000000006146,-54.999999999993946,73.99999999999807,-62.000000000006494,-41.000000000002146,-120.99999999999334,279.00000000000705,238.99999999998923,358.9999999999982,-334.9999999999964,76.99999999999818,112.99999999999955,95.00000000001307,-124.99999999999733,7.0000000000014495,-151.00000000001222,,420.99999999999494
2017.01.30,-24.999999999997247,97.00000000001374,287.9999999999967,-18.0000000000069,-59.99999999999339,200.9999999999934,-58.000000000002494,-40.00000000000669,-127.99999999999478,286.99999999999284,312.9999999999855,356.00000000000074,-405.9999999999952,195.99999999999795,156.99999999999648,165.00000000000625,-129.9999999999968,0.999999999995449,-148.99999999999915,,1046.9999999999864
2017.01.30,-21.00000000000435,113.00000000000753,302.99999999999727,-40.00000000000669,-43.999999999999595,215.99999999999397,-57.00000000000705,-29.000000000001247,-117.99999999999588,340.00000000000693,310.9999999999946,408.9999999999927,-394.00000000000546,199.99999999998863,206.99999999999363,192.00000000000728,-134.99999999999625,-1.0000000000065512,-148.00000000001478,,1303.9999999999445
2017.01.30,-31.000000000003247,66.00000000001049,316.0000000000025,-26.999999999999247,-51.000000000001044,248.99999999999523,-78.00000000000028,-35.00000000000725,-119.99999999999788,323.0000000000066,274.9999999999808,397.99999999998727,-334.9999999999964,206.99999999999363,204.9999999999983,197.00000000000273,-157.99999999999147,2.999999999997449,-133.00000000000534,,1270.9999999999732
