date,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,GBPCHF,CHFJPY,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.03.14,-113.99999999999189,-217.99999999998488,-137.00000000000045,-24.000000000001798,-16.0000000000049,-102.00000000000209,-90.99999999999397,-110.99999999999443,-57.00000000001637,-346.9999999999862,-175.99999999999838,-23.999999999979593,-25.999999999992696,-170.0000000000017,-117.00000000000443,-156.99999999999648,-85.00000000000173,-71.99999999999429,-156.00000000000057,,-2199.9999999999472
2016.03.14,-86.0000000000083,-276.9999999999939,-249.00000000000944,62.99999999999084,0.999999999995449,16.000000000016,-143.99999999999125,-161.00000000000003,109.99999999998522,-319.0000000000026,-38.99999999998904,340.00000000000693,272.00000000000557,-265.00000000000057,-207.00000000000784,-240.99999999999966,-136.00000000000279,-12.000000000000899,-91.00000000001884,,-1425.0000000000252
2016.03.14,-99.00000000000463,-314.99999999999864,-273.00000000001035,66.99999999999484,-103.00000000000864,22.0000000000109,-135.99999999999568,-168.99999999999693,165.99999999999682,-316.0000000000052,-146.00000000000168,304.00000000001535,139.00000000000023,-262.00000000000045,-171.99999999999704,-183.9999999999975,-188.00000000001037,46.00000000000159,-104.99999999999955,,-1724.000000000007
2016.03.14,-62.99999999999084,-281.99999999998226,-273.00000000001035,68.00000000000139,-91.00000000000774,-22.999999999995246,-179.9999999999926,-168.99999999999693,118.99999999999977,-253.99999999999866,-228.00000000000597,371.00000000001023,68.00000000000139,-245.00000000000455,-140.00000000000057,-129.0000000000049,-242.00000000000887,117.99999999999588,-68.00000000000139,,-1642.999999999992
2016.03.14,-114.99999999999844,-203.99999999998198,-198.0000000000075,12.999999999996348,-218.00000000000708,-90.99999999999665,-152.00000000000102,-126.99999999999933,52.99999999999727,-275.000000000003,-448.9999999999883,192.00000000001438,-320.00000000000915,-164.00000000000148,21.99999999999136,7.999999999995566,-327.99999999999494,183.99999999999528,-67.00000000001705,,-2236.0000000000155
2016.03.14,-107.99999999999699,-166.99999999998383,-195.0000000000074,-77.00000000001594,-174.00000000000747,-68.00000000000139,-131.00000000000023,-85.99999999999719,-100.99999999999909,-184.00000000000637,-601.000000000007,7.0000000000014495,-299.99999999998914,-135.00000000000512,75.9999999999934,-10.000000000005116,-316.0000000000052,102.00000000000209,-185.00000000001293,,-2653.000000000043
2016.03.14,-134.99999999999625,-115.99999999998278,-49.000000000006594,-104.00000000001519,-198.00000000000927,-140.99999999999113,-21.000000000000796,-45.99999999999049,-247.0000000000141,-87.99999999999919,-598.999999999994,-19.999999999997797,-402.9999999999978,27.000000000001023,241.99999999999022,128.0000000000001,-323.99999999999096,112.99999999999643,-187.00000000000384,,-2168.000000000002
2016.03.14,-157.00000000000713,-145.99999999997948,-24.00000000000091,-104.99999999999955,-151.00000000000114,-178.99999999999582,-10.99999999999568,-45.99999999999049,-209.00000000000318,-171.99999999999437,-526.0000000000042,-39.999999999995595,-243.99999999999977,16.999999999995907,191.99999999999307,96.9999999999942,-313.00000000000773,77.00000000000485,-198.00000000000927,,-2137.9999999999964
2016.03.14,-123.00000000000644,-145.99999999997948,-31.00000000000591,-124.00000000001299,-186.00000000000838,-226.99999999999943,-64.99999999999773,-40.99999999999105,-143.00000000000068,-58.000000000002494,-451.0000000000014,-18.999999999991246,-289.9999999999903,54.000000000002046,217.9999999999893,93.00000000000352,-263.99999999999756,77.00000000000485,-165.00000000001512,,-1891.0000000000005
2016.03.14,-141.99999999999767,-133.99999999998968,-24.00000000000091,-138.0000000000159,-220.00000000000907,-226.99999999999943,-63.00000000000239,-47.9999999999925,-153.99999999999636,-11.00000000000545,-634.0000000000013,10.000000000021103,-370.00000000000364,82.99999999999841,283.00000000000125,183.9999999999975,-346.0000000000019,139.00000000000023,-161.00000000001114,,-1973.0000000000093
2016.03.14,-140.99999999999113,-145.99999999997948,-78.00000000000296,-172.0000000000166,-234.00000000000088,-219.99999999999798,-99.99999999999432,-44.99999999999504,-143.00000000000068,-24.000000000001798,-801.0000000000073,-17.000000000000348,-381.99999999999346,51.00000000000193,311.9999999999976,147.00000000000557,-402.9999999999978,136.99999999999824,-242.00000000000887,,-2500.9999999999854
2016.03.14,-102.00000000000209,-149.9999999999835,-124.00000000000944,-144.0000000000108,-247.00000000000833,-175.99999999999838,-141.9999999999959,-68.00000000000139,-38.000000000010914,-51.000000000001044,-824.9999999999868,24.000000000001798,-415.99999999999415,-12.000000000000455,278.99999999999636,123.99999999999523,-456.9999999999963,170.99999999999892,-245.0000000000063,,-2599.0000000000136
2016.03.14,-107.99999999999699,-153.9999999999875,-92.00000000001296,-90.00000000001229,-224.000000000002,-182.99999999999983,-117.999999999995,-84.99999999999064,-111.99999999999477,-58.000000000002494,-824.9999999999868,92.00000000000318,-361.9999999999957,-4.0000000000048885,335.9999999999985,153.99999999999636,-472.00000000000574,165.9999999999995,-263.00000000001324,,-2402.000000000003
2016.03.14,-137.9999999999937,-188.9999999999947,-206.00000000000307,-158.0000000000137,-247.00000000000833,-252.99999999999213,-188.0000000000024,-69.9999999999923,-80.0000000000125,-35.999999999991594,-902.0000000000028,58.000000000002494,-367.0000000000062,-45.000000000001705,293.99999999999693,72.00000000000273,-473.99999999999665,146.00000000000168,-301.0000000000179,,-3084.0000000000264
2016.03.14,-121.99999999999989,-206.99999999997942,-177.0000000000067,-158.0000000000137,-192.00000000000327,-184.99999999999073,-210.99999999999852,-103.99999999999298,43.00000000000637,18.0000000000069,-909.0000000000042,23.00000000001745,-252.99999999999213,-21.99999999999136,289.99999999999204,57.00000000000216,-428.9999999999905,92.00000000000318,-327.00000000001063,,-2772.9999999999463
2016.03.14,-86.0000000000083,-217.99999999998488,-183.00000000000693,-148.99999999999915,-148.99999999999915,-190.99999999998562,-219.99999999999886,-117.00000000000044,73.0000000000075,-129.99999999998568,-767.0000000000066,80.00000000001339,-92.00000000000318,-88.99999999999864,76.99999999999818,-22.999999999996135,-384.9999999999909,80.99999999999774,-323.0000000000066,,-2810.9999999999545
2016.03.14,-49.99999999999449,-192.99999999999872,-195.0000000000074,14.999999999987246,-48.99999999999905,-194.99999999998963,-259.00000000000034,-142.99999999999312,78.00000000000296,-258.99999999998704,-292.9999999999877,211.00000000000563,68.00000000000139,-218.00000000000352,-186.9999999999976,-165.99999999999682,-207.00000000000162,39.00000000000014,-145.00000000001734,,-2147.999999999977
2016.03.14,-17.000000000000348,-188.9999999999947,-221.00000000000364,103.99999999999298,-29.000000000001247,-149.9999999999835,-283.00000000000125,-166.99999999999494,158.99999999999181,-360.0000000000048,-82.99999999998863,322.00000000000006,148.99999999999915,-260.0000000000051,-293.99999999999693,-245.00000000000455,-146.99999999999713,9.00000000000345,-68.00000000000139,,-1769.9999999999905
2016.03.14,-2.999999999997449,-165.9999999999995,-126.00000000000477,163.9999999999864,5.999999999994898,-190.00000000000128,-233.99999999999466,-156.00000000000057,84.00000000000318,-390.0000000000015,153.00000000000313,299.00000000000483,112.000000000001,-253.0000000000001,-310.0000000000023,-231.99999999999932,-75.00000000000284,-4.999999999999449,-4.000000000004,,-1326.0000000000146
2016.03.14,-32.999999999994145,-55.99999999998939,-191.0000000000025,183.99999999998417,-45.000000000006146,-354.9999999999942,-388.9999999999958,-56.99999999999594,19.000000000005457,-546.9999999999864,253.99999999999866,179.00000000001802,-171.00000000001003,-349.00000000000375,-314.00000000000716,-180.00000000000682,-139.99999999999568,43.999999999999595,72.99999999998974,,-2073.9999999999927
