1993.05.09,00:00,1.53700,1.54450,1.51800,1.53870,8063
1993.05.16,00:00,1.53650,1.56030,1.52370,1.54250,13705
1993.05.23,00:00,1.54000,1.56800,1.52890,1.56070,12105
1993.05.30,00:00,1.56050,1.56700,1.50600,1.50850,13945
1993.06.06,00:00,1.50630,1.54050,1.50600,1.52150,14865
1993.06.13,00:00,1.51900,1.53550,1.49200,1.49750,15045
1993.06.20,00:00,1.49400,1.49800,1.46370,1.47620,12365
1993.06.27,00:00,1.47850,1.52550,1.47500,1.50700,16015
1993.07.04,00:00,1.50800,1.51450,1.47650,1.48000,11115
1993.07.11,00:00,1.48400,1.50520,1.47200,1.48600,14275
1993.07.18,00:00,1.48450,1.52200,1.48300,1.50350,13445
1993.07.25,00:00,1.50400,1.50580,1.47500,1.48150,11425
1993.08.01,00:00,1.47900,1.50950,1.47590,1.49790,14085
1993.08.08,00:00,1.49700,1.49900,1.45500,1.45900,12545
1993.08.15,00:00,1.46000,1.52150,1.45950,1.51500,16485
1993.08.22,00:00,1.51450,1.51900,1.47800,1.50300,15455
1993.08.29,00:00,1.50380,1.53230,1.48470,1.53000,16175
1993.09.05,00:00,1.52900,1.55800,1.52380,1.55250,14475
1993.09.12,00:00,1.54850,1.55800,1.52400,1.53200,14875
1993.09.19,00:00,1.53000,1.54350,1.49150,1.50800,17265
1993.09.26,00:00,1.51450,1.51950,1.48850,1.50400,11805
1993.10.03,00:00,1.49500,1.53900,1.49330,1.53400,13085
1993.10.10,00:00,1.53300,1.53950,1.50800,1.51050,11905
1993.10.17,00:00,1.50750,1.50900,1.47000,1.47200,12725
1993.10.24,00:00,1.47850,1.49800,1.47250,1.47800,13395
1993.10.31,00:00,1.48250,1.48830,1.47050,1.48200,10985
1993.11.07,00:00,1.48500,1.49810,1.46350,1.49200,11155
1993.11.14,00:00,1.49180,1.49650,1.46900,1.47350,10225
1993.11.21,00:00,1.47300,1.49550,1.46930,1.47850,9495
1993.11.28,00:00,1.48150,1.49630,1.47550,1.49000,10015
1993.12.05,00:00,1.49270,1.50600,1.48600,1.49500,9805
1993.12.12,00:00,1.49350,1.49800,1.47600,1.48740,8135
1993.12.19,00:00,1.48750,1.49150,1.48330,1.48870,2052
1994.01.02,00:00,1.47800,1.49600,1.47400,1.49300,9165
1994.01.09,00:00,1.49200,1.50700,1.48670,1.49280,9505
1994.01.16,00:00,1.48820,1.50400,1.48700,1.49230,9325
1994.01.23,00:00,1.49100,1.51200,1.48950,1.49540,8195
1994.01.30,00:00,1.49300,1.50970,1.47200,1.47690,12535
1994.02.06,00:00,1.47400,1.48850,1.45400,1.46250,10785
1994.02.13,00:00,1.46400,1.49400,1.46250,1.48200,11905
1994.02.20,00:00,1.48000,1.49430,1.47170,1.48860,10165
1994.02.27,00:00,1.48850,1.50050,1.48250,1.49010,8665
1994.03.06,00:00,1.48900,1.50600,1.48500,1.50010,7115
1994.03.13,00:00,1.50030,1.50110,1.48450,1.49110,8265
1994.03.20,00:00,1.48900,1.50400,1.48040,1.49710,9435
1994.03.27,00:00,1.49900,1.50100,1.47100,1.47370,11275
1994.04.03,00:00,1.46950,1.47880,1.46070,1.47610,7725
1994.04.10,00:00,1.47700,1.48050,1.46600,1.47160,7085
1994.04.17,00:00,1.47080,1.49900,1.46760,1.48860,8945
1994.04.24,00:00,1.48850,1.52600,1.48800,1.52000,10485
1994.05.01,00:00,1.51600,1.52100,1.48900,1.49360,9525
1994.05.08,00:00,1.49060,1.50350,1.48500,1.49910,7845
1994.05.15,00:00,1.49760,1.51520,1.49530,1.50650,8525
1994.05.22,00:00,1.50500,1.51320,1.50230,1.51080,6745
1994.05.29,00:00,1.51020,1.52080,1.50150,1.50550,7425
1994.06.05,00:00,1.50400,1.51320,1.50200,1.50950,7205
1994.06.12,00:00,1.50850,1.53800,1.50700,1.53550,8935
1994.06.19,00:00,1.53420,1.55690,1.52700,1.55300,12015
1994.06.26,00:00,1.55370,1.55950,1.52960,1.53800,12795
1994.07.03,00:00,1.53480,1.55330,1.53220,1.55000,10155
1994.07.10,00:00,1.55500,1.57700,1.55300,1.56200,10405
1994.07.17,00:00,1.56160,1.56650,1.52000,1.52750,13415
1994.07.24,00:00,1.53070,1.54530,1.52050,1.54400,10515
1994.07.31,00:00,1.55250,1.55350,1.53300,1.54200,8895
1994.08.07,00:00,1.54380,1.55460,1.52960,1.54800,10505
1994.08.14,00:00,1.54490,1.55430,1.52620,1.54770,12185
1994.08.21,00:00,1.54900,1.56250,1.52300,1.53050,13665
1994.08.28,00:00,1.52770,1.55260,1.52040,1.55260,11975
1994.09.04,00:00,1.54650,1.55700,1.53850,1.55380,10785
1994.09.11,00:00,1.55160,1.59020,1.54950,1.57920,12675
1994.09.18,00:00,1.57790,1.58420,1.56220,1.57870,10345
