date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,GBPJPY,GBPAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.05.16,9.00000000000345,72.0000000000054,9.999999999998899,7.999999999995566,65.99999999998829,131.99999999999878,-56.0000000000005,-164.00000000000148,-14.999999999998348,-116.00000000001387,156.99999999998494,135.00000000001845,-31.999999999996476,-138.9999999999958,-69.00000000000261,-180.0000000000024,-78.00000000000028,-93.99999999999409,,-354.00000000001205
2016.05.16,121.00000000000443,56.99999999999594,-76.0000000000094,42.999999999992156,63.99999999999739,104.99999999999955,-58.99999999999794,-108.99999999999466,-95.99999999999609,-149.0000000000009,104.99999999999955,200.00000000000017,-45.000000000001705,-135.00000000000512,-105.00000000000398,-145.00000000000622,-88.00000000001029,-79.99999999999119,,-392.00000000002836
2016.05.16,102.00000000000209,89.00000000000574,-42.0000000000087,-91.00000000000819,157.99999999999147,62.000000000006494,-24.999999999997247,-33.00000000000125,-65.99999999999939,19.99999999998181,-113.00000000000753,35.00000000000725,100.00000000000853,16.000000000005343,46.999999999997044,-151.9999999999966,-104.00000000000409,-87.99999999999919,,-85.00000000001641
2016.05.16,82.00000000000429,46.0000000000127,51.000000000001044,-55.999999999997385,154.99999999999403,119.99999999999788,-17.999999999995797,-97.99999999999898,-49.99999999999449,25.000000000005684,88.99999999998354,-134.99999999999625,69.00000000000261,-73.0000000000075,33.00000000000125,-231.99999999999886,-102.00000000000209,-191.99999999999218,,-285.9999999999805
2016.05.16,85.00000000000173,87.00000000001484,86.99999999999264,-27.000000000001023,110.99999999999443,230.000000000008,-112.000000000001,-120.00000000000455,-80.99999999999774,-70.0000000000216,329.99999999998585,49.00000000001015,20.000000000010232,-213.99999999999864,-90.00000000000341,-343.00000000000443,-195.00000000000074,-211.99999999998997,,-465.00000000000523
2016.05.16,129.00000000000134,36.0000000000138,70.99999999999883,54.000000000002046,162.99999999997982,262.00000000000665,-43.999999999999595,-156.0000000000059,-82.99999999999974,-129.99999999999545,481.99999999998244,-95.999999999985,-7.999999999995566,-307.00000000000216,-73.99999999999807,-422.00000000000017,-147.00000000000824,-363.9999999999866,,-633.9999999999915
2016.05.16,173.9999999999964,48.000000000003595,-23.00000000001745,149.99999999999147,167.9999999999904,341.99999999999784,-56.0000000000005,-206.00000000000307,-112.99999999999643,-278.99999999999636,680.9999999999983,63.000000000013046,-81.00000000000307,-468.0000000000035,-146.0000000000008,-531.9999999999991,-159.00000000000912,-471.9999999999835,,-909.0000000000217
2016.05.16,173.00000000000094,12.000000000012001,-67.00000000001705,213.99999999999864,189.99999999997908,284.0000000000065,21.00000000000435,-271.0000000000008,-100.00000000000009,-330.0000000000125,573.0000000000013,-68.99999999998573,-111.99999999999477,-447.00000000000273,-108.00000000000409,-472.00000000000574,-78.00000000000028,-508.9999999999817,,-1096.0000000000027
2016.05.16,133.00000000000534,97.9999999999981,-11.00000000000545,146.0000000000008,210.99999999998343,297.00000000000284,7.0000000000014495,-245.00000000000455,-56.99999999999594,-330.0000000000125,489.99999999999045,-99.99999999998899,-45.000000000001705,-412.00000000000614,-78.00000000000296,-504.00000000000443,-115.00000000000954,-498.9999999999828,,-1014.0000000000325
2016.05.16,185.99999999999727,121.00000000001555,4.999999999988347,253.99999999999068,129.99999999998568,278.00000000000045,106.00000000000608,-302.0000000000067,-140.99999999999113,-504.99999999999545,414.9999999999876,-375.9999999999986,-185.00000000000227,-472.0000000000084,-39.99999999999204,-423.0000000000067,71.99999999999429,-638.9999999999895,,-1516.000000000025
