date,GBPUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,AUDNZD,empty,sum
2017.05.15,-70.99999999999883,39.99999999999204,107.99999999999699,34.000000000000696,87.00000000001484,36.999999999998145,33.999999999991815,-21.00000000000435,-17.000000000000348,-7.0000000000014495,-149.0000000000009,-212.00000000001216,-205.00000000001074,72.99999999999329,75.00000000000284,-123.99999999999079,-175.99999999999838,4.9999999999954525,103.99999999999298,,-385.0000000000389
2017.05.15,-86.99999999999264,64.99999999999773,112.000000000001,-4.000000000004,86.0000000000083,29.00000000001235,15.000000000000568,-26.000000000003798,39.00000000000014,14.000000000002899,-188.99999999999295,-248.00000000000378,-112.000000000001,94.99999999999886,87.99999999999919,-17.999999999984695,-83.00000000001084,73.99999999999807,100.99999999999554,,-48.99999999997911
2017.05.15,-41.99999999998649,48.00000000000182,139.00000000000023,2.000000000002,202.9999999999976,93.00000000000975,-64.99999999999773,62.99999999999084,104.00000000000409,124.00000000000189,-120.00000000000455,-226.99999999999943,-119.00000000000244,7.999999999995566,51.99999999998539,9.000000000014552,-1.0000000000065512,46.999999999997044,89.00000000000574,,407.0000000000093
2017.05.15,-34.000000000000696,146.0000000000008,168.99999999999693,36.999999999998145,205.00000000001074,92.00000000000318,27.999999999991587,46.999999999997044,65.00000000000395,217.0000000000005,-236.99999999999477,-255.00000000000523,-197.00000000000273,115.99999999999966,82.99999999998863,-58.000000000002494,221.99999999998886,74.99999999998863,-117.99999999999588,,602.9999999999669
2017.05.15,-29.999999999996696,117.00000000000443,229.00000000001253,19.00000000000235,177.00000000000495,60.99999999999994,22.999999999996135,4.999999999999449,75.00000000000284,165.9999999999995,-194.00000000001683,-322.00000000000006,-143.00000000000423,69.99999999999318,136.99999999998712,-21.999999999988695,132.99999999998312,76.99999999999818,-26.999999999999247,,550.9999999999781
2017.05.15,-14.999999999987246,100.99999999999909,229.00000000001253,-23.00000000000635,143.00000000000423,85.00000000000173,22.999999999996135,-1.0000000000065512,107.99999999999699,170.00000000000347,-156.0000000000059,-301.0000000000179,-29.999999999996696,87.99999999999386,175.99999999999838,25.00000000000835,112.000000000001,110.99999999999,19.999999999997797,,864.9999999999827
2017.05.15,-45.99999999999049,171.99999999999704,185.99999999999727,-24.999999999997247,178.99999999999582,119.00000000000244,86.99999999998909,26.999999999999247,112.000000000001,214.99999999999852,-283.00000000001546,-290.00000000001245,-63.99999999999739,199.99999999998863,171.99999999999437,-17.000000000000348,153.9999999999875,167.0000000000016,-39.999999999995595,,1024.9999999999434
2017.05.15,-40.99999999997994,227.00000000000387,209.00000000001472,14.000000000002899,243.99999999999977,111.00000000001664,80.99999999998886,54.999999999993946,114.00000000000298,248.99999999999923,-349.9999999999943,-310.0000000000103,-147.99999999999258,183.9999999999975,109.00000000000354,-2.999999999997449,252.99999999999213,167.0000000000016,-95.00000000000064,,1070.0000000000425
2017.05.15,-65.99999999998829,222.99999999999898,158.99999999999804,-65.00000000000395,236.00000000001398,106.00000000000608,105.99999999999454,57.99999999999139,173.00000000000094,262.00000000000665,-372.0000000000141,-286.00000000000847,11.999999999989797,207.9999999999984,85.00000000000173,131.00000000001444,268.0000000000016,250.99999999999056,-25.999999999992696,,1462.9999999999995
2017.05.15,-58.99999999998684,201.99999999999818,107.00000000001265,-109.00000000000354,242.00000000000887,123.00000000000644,73.99999999999807,92.99999999999864,226.99999999999943,296.0000000000074,-336.00000000001273,-214.00000000000307,129.00000000000134,189.99999999999773,35.999999999991594,212.99999999999653,356.9999999999851,286.00000000000136,-7.0000000000014495,,1849.999999999996
2017.05.15,-76.99999999999375,164.00000000000148,79.00000000000685,-45.000000000006146,280.9999999999979,138.0000000000159,21.99999999999136,120.99999999999334,172.00000000000549,301.0000000000068,-311.00000000000705,-199.00000000001583,-59.99999999999339,146.99999999999136,7.0000000000014495,79.00000000000685,332.9999999999833,185.00000000000227,-90.99999999999665,,1245.9999999999916
2017.05.15,-98.99999999998244,209.99999999999375,-126.99999999998823,-58.000000000002494,268.0000000000016,110.00000000001009,95.99999999998943,213.99999999999199,168.00000000000148,292.9999999999988,-395.00000000001023,36.999999999998145,-59.99999999999339,196.99999999998852,-219.99999999999798,103.00000000000864,351.99999999999676,235.99999999999,-83.9999999999952,,1240.999999999999
2017.05.15,-186.99999999998164,221.9999999999942,-214.00000000000307,-77.00000000000485,317.0000000000117,100.0000000000112,143.00000000000068,237.99999999999378,163.99999999999747,274.00000000000756,-509.9999999999909,28.999999999990145,-130.99999999999224,237.99999999999955,-285.00000000000193,113.00000000000753,319.999999999987,265.00000000000057,-59.000000000009045,,960.0000000000176
2017.05.15,-174.99999999999181,242.00000000000443,-143.00000000000423,-57.00000000000705,312.00000000000114,101.00000000001774,156.99999999999648,201.99999999999108,146.00000000000168,265.99999999999955,-525.0000000000057,-50.0000000000167,-164.00000000000858,255.99999999998602,-207.00000000000162,73.99999999999629,302.9999999999866,256.0000000000002,-73.00000000001194,,920.9999999999337
2017.05.15,-200.99999999998454,224.99999999999432,-165.9999999999995,-73.99999999999629,358.9999999999982,100.0000000000112,121.99999999999989,226.99999999999943,177.00000000000495,275.99999999999847,-530.0000000000011,-52.000000000007596,-158.99999999999804,214.9999999999892,-262.00000000000665,131.99999999999878,330.9999999999924,262.999999999991,-49.99999999999449,,932.9999999999895
2017.05.15,-264.9999999999819,179.00000000000205,-147.99999999999258,-67.00000000000594,408.00000000000836,114.0000000000141,90.99999999999397,207.99999999999707,160.00000000000458,251.00000000000122,-545.9999999999923,-163.00000000000205,-263.99999999999756,197.9999999999933,-204.00000000000418,83.00000000001084,243.99999999999977,222.99999999999898,-25.00000000000835,,477.0000000000394
2017.05.15,-268.9999999999859,209.99999999999375,-134.99999999999625,-77.00000000000485,415.0000000000098,141.00000000001333,117.999999999995,204.99999999999963,168.99999999999693,251.00000000000122,-587.9999999999939,-180.0000000000024,-249.99999999999466,256.9999999999908,-160.00000000000458,68.00000000000139,208.99999999999253,251.99999999999534,-12.999999999996348,,623.0000000000109
2017.05.15,-218.99999999999142,210.99999999999852,-210.99999999998343,-87.99999999999919,365.0000000000153,113.00000000000753,112.99999999999955,243.99999999999977,182.99999999999983,308.00000000000824,-531.0000000000059,-22.0000000000109,-151.00000000001222,220.99999999998943,-283.000000000011,134.00000000001188,384.9999999999909,265.99999999999113,-73.99999999999629,,964.0000000000017
2017.05.15,-375.9999999999986,304.9999999999926,-317.9999999999961,-256.0000000000007,446.9999999999974,154.0000000000097,280.9999999999917,259.9999999999936,304.9999999999997,392.9999999999989,-835.000000000008,-99.00000000000463,28.000000000005798,448.99999999999807,-255.00000000000523,323.0000000000066,522.0000000000002,530.9999999999917,-39.00000000001125,,1819.9999999999616
