date,USDCHF,USDJPY,GBPCHF,EURCHF,CADCHF,AUDCHF,GBPJPY,GBPCAD,EURNZD,AUDJPY,AUDNZD,empty,sum
2021.06.28,-121.99999999999989,0.0,-182.99999999999983,0.0,-36.0000000000027,-3.0000000000085514,-20.000000000010232,-53.999999999998494,0.0,-280.00000000000114,-234.00000000000088,,-932.0000000000217
2021.06.28,-129.00000000000134,46.999999999997044,-357.00000000000733,26.999999999999247,32.999999999994145,171.99999999999437,-82.99999999999841,372.00000000001677,197.99999999998707,-385.9999999999957,-266.999999999995,,-373.0000000000091
2021.06.28,-68.00000000000139,4.0000000000048885,-234.00000000000088,0.0,48.99999999999905,222.99999999999542,-108.00000000000409,446.0000000000131,329.00000000000153,-359.99999999999943,-306.00000000000625,,-24.99999999999818
2021.06.28,-26.999999999999247,55.00000000000682,-218.00000000000708,35.00000000000725,57.99999999999139,202.0000000000022,22.999999999996135,609.9999999999994,580.0000000000027,-331.00000000000307,-285.00000000000193,,701.9999999999945
2021.06.28,-17.000000000000348,55.999999999997385,-140.99999999999113,39.999999999995595,87.99999999999919,247.99999999999267,94.99999999999886,652.0000000000082,645.999999999991,-308.9999999999975,-292.00000000000335,,1065.9999999999905
2021.06.28,-19.00000000000235,75.00000000000284,-154.0000000000097,48.000000000003595,97.9999999999981,258.9999999999981,123.99999999999523,638.0000000000052,618.0000000000074,-384.00000000000034,-346.0000000000019,,956.9999999999964
2021.06.28,-58.000000000002494,-16.999999999995907,-154.0000000000097,39.00000000001125,102.99999999999754,278.00000000000045,-8.000000000009777,590.0000000000016,448.000000000004,-379.99999999999545,-337.0000000000095,,503.99999999999187
2021.06.28,-65.99999999999939,-75.00000000000284,-112.000000000001,63.99999999999739,126.99999999999933,309.99999999999915,-98.99999999998954,609.0000000000151,326.0000000000041,-295.99999999999227,-222.00000000001108,,566.0000000000189
2021.06.28,-136.00000000000279,-55.999999999997385,-93.00000000000975,76.99999999999375,129.9999999999968,307.99999999999716,-112.99999999999955,606.0000000000176,348.9999999999993,-289.99999999999204,-222.00000000001108,,559.999999999992
2021.06.28,-185.00000000000182,-70.99999999999795,-62.99999999999084,73.00000000001194,126.99999999999933,317.0000000000006,-194.99999999999318,655.0000000000056,421.99999999998903,-213.99999999999864,-239.99999999999577,,626.0000000000283
