date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURJPY,EURCAD,EURNZD,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.05.28,-48.99999999999905,-62.99999999999084,-83.9999999999952,-158.00000000000125,-19.999999999997797,-27.999999999994696,0.0,-65.00000000000395,-221.00000000000364,-85.00000000000173,-32.999999999994145,-0.999999999995449,-89.99999999999008,-130.99999999999224,-57.00000000001637,-62.000000000006494,-214.00000000000307,-15.000000000000568,-23.00000000000635,0.0,-97.9999999999981,,-1496.999999999991
2018.05.28,-10.999999999994348,-62.000000000006494,-75.99999999998718,9.000000000000341,-46.999999999997044,-46.00000000000159,60.00000000000449,-56.000000000011596,-143.00000000000068,-142.00000000000878,-26.999999999999247,126.0000000000039,-57.99999999998029,-136.99999999998712,-152.00000000001523,-18.0000000000069,-215.00000000000963,64.99999999999773,-13.00000000000745,62.000000000006494,-141.99999999999767,,-1022.9999999999984
2018.05.28,87.00000000000374,-103.00000000000864,-57.99999999998029,-114.00000000000432,-96.99999999999153,-39.999999999995595,109.00000000000354,41.99999999998649,-129.0000000000049,-101.00000000000664,35.00000000000725,170.99999999999892,-95.00000000000064,-119.99999999998678,-132.000000000005,9.999999999998899,-100.99999999999554,72.00000000000273,7.0000000000014495,168.00000000000148,-66.00000000001049,,-454.9999999999859
2018.05.28,141.99999999999767,-103.99999999999298,-78.99999999998464,-100.00000000000853,-92.00000000000318,-21.999999999999797,133.00000000000534,65.99999999998829,-134.00000000000034,-125.00000000000844,97.00000000000264,224.000000000002,-103.99999999999298,-102.00000000000209,7.999999999981355,78.00000000000028,-202.9999999999976,76.00000000000762,42.999999999993044,221.99999999999997,-69.00000000000794,,-45.000000000020336
2018.05.28,168.00000000000148,-56.99999999999594,-97.9999999999981,-118.99999999999977,-120.99999999999334,-19.00000000000235,107.00000000000153,167.9999999999904,-155.00000000000114,-99.00000000000463,111.00000000000554,219.00000000000253,-119.99999999998678,-42.999999999993044,37.99999999998249,201.00000000000674,-296.9999999999917,27.000000000001023,51.000000000001044,208.00000000000819,-123.99999999999079,,46.00000000004337
2018.05.28,140.0000000000068,-68.00000000000139,-73.99999999999629,-120.00000000000455,-151.00000000001222,-9.999999999998899,85.00000000000173,129.99999999998568,-135.99999999999568,-75.00000000000284,80.00000000000229,195.9999999999962,-151.9999999999966,-22.999999999995246,37.00000000000614,200.00000000000017,-304.9999999999997,1.9999999999953388,58.000000000002494,196.00000000000728,-120.00000000000898,,-110.00000000000838
2018.05.28,129.00000000000134,-69.00000000000794,-194.99999999998963,-126.00000000000477,-161.00000000001114,-75.9999999999983,89.00000000000574,119.00000000000244,-103.9999999999992,-68.00000000000139,80.00000000000229,182.99999999999983,-240.9999999999801,-139.00000000000023,-134.00000000001455,222.99999999999542,-296.9999999999917,7.000000000005002,73.00000000000084,212.00000000000108,-131.99999999999878,,-626.9999999999839
2018.05.28,117.00000000000044,-15.999999999993797,-229.99999999999687,-265.00000000000057,-242.00000000000887,-66.99999999999484,146.00000000000168,147.99999999999258,-234.00000000000887,-74.00000000000739,58.000000000002494,224.9999999999974,-347.9999999999928,-52.99999999999194,-140.00000000001478,353.0000000000033,-337.99999999999386,-36.000000000001364,120.99999999999334,271.0000000000101,-119.00000000000244,,-723.000000000007
2018.05.28,51.000000000001044,-25.999999999992696,-300.99999999999574,-305.0000000000068,-258.0000000000027,-105.99999999999498,134.99999999999625,49.99999999999449,-254.99999999999545,36.999999999998145,-15.999999999993797,185.00000000000182,-394.9999999999898,-131.99999999999878,-4.9999999999954525,489.99999999999045,-404.0000000000044,-66.99999999999307,90.99999999999665,335.0000000000075,-18.0000000000069,,-913.9999999999842
2018.05.28,70.99999999999883,28.000000000005798,-271.99999999998334,-415.00000000000625,-283.99999999999534,-109.99999999999899,256.0000000000007,126.99999999998823,-328.00000000000296,56.99999999999594,104.00000000000409,302.0000000000023,-452.99999999999227,-120.99999999999334,-32.00000000001069,591.9999999999925,-214.00000000000307,73.99999999999807,239.0000000000003,489.0000000000061,1.0000000000065512,,111.00000000001297
2018.05.28,85.00000000000173,4.000000000004,-244.9999999999841,-356.00000000000875,-268.0000000000016,-148.0000000000037,314.99999999999864,150.99999999999002,-305.0000000000068,40.99999999999105,141.00000000000225,387.000000000004,-442.9999999999934,-204.00000000000418,134.9999999999909,548.9999999999995,35.999999999991594,93.00000000000352,278.9999999999959,580.0000000000027,78.00000000000028,,904.9999999999734
2018.05.28,90.99999999999665,5.999999999994898,-253.99999999999866,-362.000000000009,-293.99999999999426,-144.99999999999514,333.0000000000055,137.9999999999937,-305.9999999999974,60.99999999999994,135.00000000000733,402.9999999999978,-475.99999999998755,-201.99999999999108,84.99999999997954,602.999999999998,22.999999999995246,135.00000000000512,292.9999999999988,621.0000000000049,92.00000000000318,,980.0000000000075
2018.05.28,97.00000000000264,48.000000000003595,-303.9999999999932,-328.00000000000296,-279.99999999999136,-117.99999999999588,321.0000000000046,202.9999999999976,-257.000000000005,39.999999999995595,141.99999999999767,385.99999999999744,-502.9999999999868,-78.99999999998464,4.9999999999954525,645.0000000000067,-103.00000000000864,120.99999999999511,280.00000000000244,570.0000000000039,76.0000000000094,,962.0000000000438
2018.05.28,75.9999999999983,106.00000000000608,-362.99999999998,-356.00000000000875,-269.00000000000813,-182.99999999999983,336.9999999999984,218.99999999999142,-272.99999999999613,51.99999999999649,163.00000000000205,390.99999999999693,-597.9999999999874,-116.99999999998934,-22.00000000001978,672.0000000000059,-124.99999999999733,120.00000000000455,303.9999999999932,592.0000000000036,38.0000000000047,,764.0000000000149
2018.05.28,85.99999999999719,174.99999999999181,-363.9999999999866,-353.9999999999992,-253.99999999999866,-176.99999999999383,356.00000000000074,295.0000000000008,-274.0000000000009,48.99999999999905,206.00000000000617,412.9999999999967,-610.9999999999837,-103.99999999999298,-69.99999999999318,713.9999999999924,-112.000000000001,177.0000000000067,357.99999999999164,612.0000000000015,35.00000000000725,,1156.0000000000418
2018.05.28,65.00000000000395,171.99999999999437,-421.99999999998903,-359.00000000000887,-252.99999999999213,-219.00000000000253,373.00000000000114,292.00000000000335,-278.99999999999636,23.999999999990695,195.00000000000074,429.0000000000016,-592.9999999999991,-99.99999999998899,-63.99999999999295,672.0000000000059,-22.0000000000109,167.0000000000016,334.00000000000097,635.0000000000077,89.99999999999008,,1137.0000000000211
2018.05.28,29.999999999996696,225.99999999999287,-451.99999999998573,-337.0000000000033,-218.99999999999142,-217.99999999999596,406.00000000000637,286.99999999999284,-225.9999999999991,28.999999999990145,180.0000000000024,446.00000000000193,-617.9999999999852,-90.99999999999665,-132.000000000005,730.0000000000084,-73.99999999999629,207.00000000000784,332.99999999999443,665.9999999999999,97.9999999999981,,1271.0000000000334
2018.05.28,45.000000000006146,226.99999999999943,-461.0000000000003,-286.00000000000136,-163.00000000000205,-231.0000000000034,436.00000000000307,283.99999999999534,-162.9999999999967,12.999999999996348,221.99999999999997,460.00000000000483,-549.9999999999839,-146.00000000000168,-269.00000000000546,726.9999999999887,-36.999999999998145,268.0000000000007,342.9999999999933,661.0000000000005,107.99999999999699,,1487.9999999999923
2018.05.28,74.00000000000739,107.99999999999699,-450.9999999999792,-215.0000000000034,-201.00000000000674,-212.00000000000108,392.9999999999989,215.99999999999397,-132.99999999999557,-18.0000000000069,163.00000000000205,446.00000000000193,-513.9999999999923,-124.99999999999733,-328.00000000000296,614.0000000000034,-4.000000000004,275.0000000000057,256.99999999999613,625.0000000000089,157.99999999999147,,1128.0000000000173
2018.05.28,50.0000000000056,120.00000000000898,-380.9999999999869,-293.99999999999693,-188.00000000001037,-182.00000000000438,404.99999999999983,224.000000000002,-239.00000000000432,-19.00000000000235,175.00000000000293,458.9999999999983,-491.99999999998136,-95.999999999985,-186.00000000000705,496.00000000000756,66.00000000001049,278.99999999999636,266.999999999995,621.0000000000049,151.9999999999966,,1237.0000000000498
2018.05.28,97.00000000000264,72.99999999998974,-290.9999999999968,-314.9999999999977,-209.9999999999991,-168.00000000000148,383.0,265.0000000000041,-305.0000000000068,-38.0000000000047,170.00000000000347,485.0000000000021,-511.99999999997914,-76.99999999999375,39.99999999999204,364.9999999999931,215.00000000000963,206.00000000000307,234.99999999999633,616.0000000000055,178.99999999999582,,1413.0000000000182
