date,USDCHF,GBPUSD,EURUSD,USDCAD,GBPCHF,EURCHF,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,NZDJPY,AUDCAD,empty,sum
2019.06.03,21.00000000000435,45.000000000006146,-9.999999999998899,21.00000000000435,55.000000000005045,4.000000000004,-65.00000000000395,39.00000000000014,53.999999999998494,99.99999999999432,42.999999999993044,147.00000000000824,13.999999999995794,-5.000000000010552,27.999999999991587,-36.999999999998145,,453.999999999994
2019.06.03,87.99999999999919,32.0000000000098,30.999999999981043,22.999999999995246,-35.999999999991594,-7.0000000000014495,-16.0000000000049,0.0,-1.0000000000065512,135.99999999999568,24.000000000001798,157.00000000000713,-51.00000000000193,36.999999999998145,78.99999999999352,-7.9999999999968985,,487.9999999999783
2019.06.03,135.00000000001845,46.0000000000127,54.99999999998284,-38.0000000000047,-89.99999999999008,-51.99999999998539,43.999999999999595,-56.0000000000005,-36.0000000000027,42.00000000000159,140.99999999999113,251.00000000000122,37.00000000000614,147.99999999999258,40.99999999999682,1.0000000000065512,,669.0000000000264
2019.06.03,166.00000000001057,49.00000000001015,68.99999999998573,-36.0000000000138,-123.99999999999079,-69.9999999999923,63.00000000000195,-53.999999999998494,-46.00000000000159,24.00000000000091,141.99999999999767,197.00000000000273,39.00000000000148,164.99999999999292,59.99999999998806,33.000000000005244,,677.0000000000005
2019.06.03,173.00000000001202,62.000000000006494,68.99999999998573,-22.999999999995246,-124.99999999999733,-78.00000000000028,61.999999999995396,-82.00000000000429,-41.000000000002146,114.99999999998067,147.99999999999258,276.00000000000955,-31.999999999996476,151.9999999999966,51.9999999999925,-7.9999999999968985,,719.9999999999789
2019.06.03,180.00000000001347,92.00000000000318,88.99999999998354,-18.0000000000069,-102.00000000000209,-68.99999999998573,65.00000000000395,-107.00000000000153,-34.000000000000696,102.00000000000387,180.99999999998673,381.0000000000091,-9.000000000000341,173.00000000000094,35.99999999998715,-39.00000000000014,,920.9999999999945
2019.06.03,212.00000000001216,158.99999999999804,139.00000000000023,26.999999999999247,-76.0000000000094,-53.999999999998494,58.000000000002494,-8.000000000008,-26.000000000003798,189.99999999999773,195.9999999999962,153.00000000000313,-75.9999999999934,174.99999999999181,155.00000000000114,89.00000000000574,,1312.9999999999948
2019.06.03,244.00000000001089,171.99999999999437,143.99999999998857,96.00000000000719,-100.99999999999554,-86.99999999999264,51.000000000001044,-6.0000000000060005,-21.00000000000435,276.9999999999868,144.99999999999514,106.99999999999044,-147.00000000000557,119.00000000000244,202.99999999998875,80.99999999999774,,1276.999999999959
2019.06.03,235.00000000000742,181.00000000000892,143.99999999998857,96.99999999999153,-79.00000000000685,-72.99999999998974,43.00000000000415,-4.000000000004,-14.000000000002899,204.00000000000773,154.99999999999403,126.0000000000039,-72.99999999999329,119.99999999998678,162.9999999999967,73.99999999999629,,1298.9999999999895
2019.06.03,247.00000000000833,211.00000000000563,198.99999999999363,187.00000000000384,-63.99999999999739,-31.999999999987594,2.000000000002,70.99999999999883,-40.00000000000669,240.99999999998545,80.99999999999774,-45.99999999999049,-138.9999999999958,89.99999999999008,227.99999999999443,123.00000000000644,,1359.0000000000086
2019.06.03,325.00000000000864,209.9999999999991,205.99999999999508,232.99999999999432,-163.00000000000205,-112.000000000001,34.000000000000696,13.999999999991797,-42.0000000000087,144.9999999999818,21.999999999988695,-34.000000000000696,-55.999999999997385,48.99999999998794,191.99999999999307,87.00000000000374,,1109.9999999999352
2019.06.03,356.0000000000119,243.99999999999977,234.99999999998522,262.00000000000665,-173.00000000000094,-123.99999999999079,43.00000000000415,56.0000000000005,-41.000000000002146,137.00000000000045,31.000000000003247,-156.00000000000057,-51.9999999999925,55.000000000005045,211.9999999999891,153.99999999999858,,1239.0000000000177
2019.06.03,375.0000000000142,231.0000000000034,201.99999999999108,234.00000000000088,-207.00000000000162,-173.99999999998528,71.99999999999429,9.999999999998899,-24.000000000001798,152.9999999999916,48.000000000003595,-86.0000000000083,-42.999999999992156,42.999999999993044,174.99999999999716,129.9999999999968,,1138.999999999996
2019.06.03,355.0000000000053,231.0000000000034,197.99999999998707,231.99999999998778,-182.99999999999983,-154.99999999999403,56.0000000000005,27.999999999994696,-23.00000000000635,134.9999999999909,48.99999999998794,-90.99999999999665,-24.00000000000091,39.999999999995595,176.9999999999925,131.99999999999878,,1156.9999999999466
