date,USDCHF,EURUSD,USDCAD,EURCHF,CADCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.08.27,36.999999999998145,65.00000000000395,79.00000000000685,62.000000000006494,43.00000000000415,-27.999999999994696,135.00000000001933,185.00000000001293,210.0000000000213,55.00000000000682,130.0000000000079,131.99999999999878,-15.000000000000568,43.99999999999693,-124.00000000000189,76.99999999999375,-51.99999999998539,,1035.0000000000946
2018.08.27,73.99999999999629,76.99999999999375,2.999999999997449,36.999999999998145,31.000000000003247,-15.999999999993797,55.00000000000682,23.00000000001745,111.00000000001664,60.000000000002274,55.99999999998939,121.00000000001555,7.000000000005002,90.00000000000341,-91.99999999999208,97.9999999999981,-70.99999999999883,,664.0000000000588
2018.08.27,92.99999999999864,93.99999999999409,32.0000000000098,31.000000000003247,48.000000000003595,0.0,75.00000000001705,124.99999999999733,194.0000000000053,57.999999999992724,109.00000000000354,158.0000000000137,-15.000000000000568,144.99999999999602,-107.99999999999699,203.99999999999307,35.00000000000725,,1278.0000000000377
2018.08.27,100.99999999999554,117.00000000001154,43.999999999999595,43.999999999999595,61.999999999995396,-8.999999999992347,58.000000000021146,153.00000000000313,168.0000000000126,55.00000000000682,151.9999999999966,158.0000000000137,-40.99999999999682,128.0000000000001,-137.9999999999937,208.99999999999253,15.00000000000945,,1276.0000000000753
2018.08.27,110.99999999999443,163.00000000000205,52.000000000007596,79.00000000000685,73.00000000000084,-1.999999999990898,108.00000000000409,211.00000000000563,224.000000000002,121.00000000000932,222.00000000001108,226.00000000001506,-33.999999999991815,150.99999999999625,-141.99999999999767,231.99999999999886,32.0000000000098,,1827.0000000000837
2018.08.27,156.00000000000057,286.99999999999284,-37.99999999998249,150.99999999999002,56.0000000000005,-62.99999999999084,191.0000000000025,145.00000000001734,42.0000000000087,295.99999999999227,276.00000000000955,188.00000000001037,47.000000000011255,216.99999999999875,-200.99999999999562,225.99999999999287,-43.999999999999595,,1932.0000000000591
2018.08.27,144.99999999999514,283.000000000011,-35.999999999991594,156.00000000000057,49.99999999999449,-68.99999999999685,178.0000000000257,168.99999999999693,70.0000000000145,259.9999999999909,275.000000000003,182.99999999999983,28.000000000005798,186.00000000000705,-200.00000000000017,211.99999999998997,-58.000000000002494,,1832.0000000000439
2018.08.27,126.99999999999933,202.00000000001327,-62.99999999999084,99.99999999998899,21.00000000000435,-48.99999999999905,83.00000000002683,85.00000000000173,104.00000000001519,121.00000000000932,137.00000000000932,148.99999999999915,12.000000000000455,94.0000000000083,-136.00000000000279,118.99999999999133,-103.99999999999298,,1002.0000000000821
2018.08.27,117.99999999999588,141.99999999999767,7.0000000000014495,55.000000000005045,51.99999999999649,20.0000000000089,0.0,110.00000000001009,218.00000000000708,30.000000000001137,141.99999999999767,234.00000000000088,-47.99999999998761,28.999999999996362,-88.99999999999464,104.99999999999955,-62.99999999999084,,1062.000000000045
2018.08.27,80.99999999999774,133.00000000000534,29.00000000001235,90.99999999999665,36.999999999998145,51.000000000001044,-3.9999999999906777,101.00000000001774,316.0000000000052,50.00000000001137,156.00000000000057,350.00000000000585,-43.99999999999693,19.000000000005457,-27.999999999994696,86.99999999999264,-15.999999999993797,,1409.0000000000741
