date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,GBPCHF,EURCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.06.04,-29.999999999996696,-89.00000000000574,-130.99999999999224,-45.99999999999227,0.0,-111.00000000000554,-136.00000000000279,-177.99999999998929,0.0,-91.00000000000774,-60.99999999999994,-177.99999999998929,-124.99999999999733,0.0,-63.99999999999739,0.0,-28.999999999996362,-68.99999999999685,-187.9999999999993,0.0,,-1525.9999999999688
2018.06.04,-38.0000000000047,-83.9999999999952,-120.00000000000898,-52.99999999999727,55.99999999998939,-121.99999999999989,-120.00000000000898,-180.0000000000024,9.00000000000345,-114.99999999999844,-53.999999999998494,-181.00000000000892,-112.000000000001,102.00000000000209,-39.999999999995595,67.9999999999792,21.000000000000796,-80.99999999999774,-189.00000000000583,65.00000000000395,,-1168.0000000000448
2018.06.04,-2.999999999997449,-165.9999999999995,-85.00000000000173,-132.000000000005,116.00000000000499,-124.99999999999733,-184.00000000000637,-200.99999999998454,56.0000000000005,-148.0000000000037,-7.9999999999968985,-343.99999999998875,-59.99999999999339,165.00000000001512,-42.999999999993044,122.99999999998423,76.99999999999818,-91.99999999999208,-198.00000000000927,130.99999999999224,,-1120.9999999999736
2018.06.04,29.999999999996696,-184.00000000000637,-76.99999999999375,-132.000000000005,163.00000000000205,-92.99999999999864,-238.99999999998923,-197.99999999998707,43.00000000000415,-90.0000000000012,12.000000000000899,-424.00000000000216,174.99999999999181,197.00000000000273,92.00000000000318,226.99999999999943,52.00000000000671,-48.99999999999905,-191.00000000000784,122.99999999998423,,-562.9999999999983
2018.06.04,37.99999999999359,-216.00000000001617,-103.00000000000864,-132.000000000005,167.9999999999904,-92.00000000000318,-258.0000000000027,-209.9999999999991,48.000000000003595,-97.00000000000264,5.999999999994898,-472.00000000000574,217.0000000000005,222.00000000001108,76.0000000000094,261.9999999999845,34.000000000006025,-78.00000000000028,-186.00000000000838,151.9999999999966,,-621.0000000000612
2018.06.04,51.000000000001044,-219.99999999999798,-129.00000000000134,-197.00000000000273,150.99999999999002,-60.99999999999994,-297.9999999999983,-258.99999999998704,67.00000000000594,-85.00000000000173,16.0000000000049,-459.0000000000094,187.00000000000384,246.00000000001288,76.99999999999375,332.9999999999833,34.000000000006025,-84.99999999999064,-156.00000000000057,195.9999999999962,,-590.9999999999918
2018.06.04,31.999999999998696,-361.9999999999957,-242.00000000000887,-271.99999999999136,41.99999999998649,-155.00000000000514,-395.99999999999636,-326.0000000000041,123.00000000000644,-170.00000000000347,9.00000000000345,-472.9999999999901,-19.999999999997797,257.0000000000183,-70.99999999999883,268.9999999999859,127.00000000000955,-197.99999999999818,-195.00000000000074,244.9999999999841,,-1775.9999999999977
2018.06.04,53.999999999998494,-374.0000000000077,-231.99999999998778,-343.0000000000035,60.99999999999994,-179.00000000000693,-524.9999999999977,-412.9999999999967,243.00000000000432,-211.00000000000563,-9.999999999998899,-503.000000000009,48.99999999998794,253.00000000001432,-73.99999999999629,217.0000000000005,182.00000000000216,-183.99999999999528,-218.00000000000708,229.99999999999687,,-1977.0000000000082
2018.06.04,97.9999999999981,-353.0000000000033,-217.0000000000005,-310.99999999999284,41.000000000002146,-168.00000000000148,-497.99999999999847,-404.9999999999887,284.0000000000065,-234.00000000000088,-0.999999999995449,-479.0000000000072,-24.000000000001798,224.000000000002,-134.99999999999625,209.9999999999991,206.00000000000307,-230.99999999999233,-218.00000000000708,258.99999999998704,,-1951.9999999999884
2018.06.04,9.00000000000345,-428.00000000000614,-356.00000000000074,-242.999999999995,-76.99999999999375,-300.0000000000003,-465.0000000000043,-441.99999999998687,206.00000000000617,-292.9999999999988,14.999999999998348,-478.0000000000006,-320.00000000000915,266.0000000000107,-295.0000000000008,56.99999999999594,233.0000000000041,-347.9999999999928,-317.0000000000006,278.9999999999848,,-3296.9999999999854
