date,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.10.25,-26.999999999999247,-46.999999999997044,-7.0000000000014495,-73.99999999999629,-156.00000000000057,-119.00000000000244,-229.99999999998977,0.0,-26.999999999999247,-168.00000000000148,-109.99999999999899,-7.000000000005002,-267.0000000000172,0.0,-53.00000000001148,-79.00000000000773,-47.00000000000814,-99.00000000000463,0.0,,-1517.0000000000405
2021.10.25,-22.999999999995246,-51.00000000000193,-26.000000000003798,-104.99999999999955,-109.00000000000354,-130.99999999999224,-165.99999999999682,22.999999999995246,-7.0000000000014495,-183.99999999999528,-109.99999999999899,49.99999999998295,-204.00000000000418,46.0000000000127,-23.000000000010346,-93.00000000000352,-56.0000000000005,-116.00000000000499,20.000000000020002,,-1265.0000000000014
2021.10.25,-60.000000000015596,-93.00000000000352,-39.00000000000014,-133.00000000000534,-25.00000000000835,-104.99999999999955,-182.00000000000216,81.9999999999932,58.000000000002494,-219.99999999999798,-85.00000000000173,18.000000000000682,-400.00000000000034,73.99999999999629,-78.00000000000296,-125.0,-100.00000000000009,-190.00000000000128,42.0000000000087,,-1561.0000000000375
2021.10.25,-66.99999999999484,-28.999999999996362,-65.00000000000395,-143.9999999999997,70.99999999999883,-104.99999999999955,-211.9999999999891,76.99999999999375,96.00000000000719,-200.00000000000017,-70.99999999999883,197.99999999997908,-389.0000000000171,190.00000000000128,-21.000000000000796,-153.99999999999636,-116.00000000000499,-207.00000000000162,107.00000000001265,,-1041.0000000000105
2021.10.25,-66.99999999999484,-27.000000000001023,-63.00000000000195,-138.00000000000477,96.00000000000719,-110.99999999999443,-229.99999999998977,98.99999999999353,85.99999999999719,-199.00000000000472,-63.00000000000195,233.0000000000041,-406.00000000001745,192.99999999999872,-7.000000000005002,-165.99999999999682,-109.00000000000354,-189.00000000000583,111.00000000001664,,-957.0000000000048
2021.10.25,-28.000000000005798,42.00000000000159,-43.00000000000415,-126.99999999999933,107.00000000001265,-126.0000000000039,-278.99999999999636,100.00000000000009,119.99999999999788,-206.00000000000617,-60.00000000000449,314.9999999999977,-419.9999999999982,195.9999999999962,22.999999999996135,-209.00000000000318,-128.00000000000588,-204.00000000000418,147.00000000000824,,-780.0000000000211
2021.10.25,-97.9999999999981,-16.999999999995907,-74.00000000000739,-119.99999999999788,80.00000000001339,-123.00000000000644,-313.99999999999295,76.99999999999375,73.00000000000084,-207.99999999999707,-58.99999999999794,335.9999999999843,-453.99999999999886,214.00000000000307,24.00000000000091,-207.00000000000784,-119.00000000000244,-182.00000000000438,173.00000000000094,,-998.00000000001
2021.10.25,-102.00000000000209,-7.000000000005002,-128.00000000000588,-224.9999999999974,126.0000000000039,-133.99999999998968,-405.9999999999917,100.00000000000009,87.00000000000374,-261.0000000000001,-26.999999999999247,370.00000000000455,-457.00000000001853,75.00000000000284,45.000000000001705,-353.00000000000864,-117.00000000000044,-239.0000000000003,93.00000000000975,,-1559.9999999999923
2021.10.25,-87.00000000001484,111.0000000000042,-151.00000000000114,-236.99999999999832,188.9999999999947,-164.00000000000858,-461.9999999999891,136.99999999999824,153.00000000000313,-297.9999999999983,-26.999999999999247,568.9999999999884,-452.00000000000796,35.00000000000725,161.00000000000136,-429.00000000000205,-191.00000000000784,-258.0000000000027,86.0000000000083,,-1315.0000000000246
2021.10.25,-56.000000000011596,82.99999999999841,-167.00000000000603,-207.00000000000162,195.9999999999962,-187.00000000000384,-351.99999999998965,180.99999999999784,128.00000000000588,-309.99999999999915,-41.9999999999976,405.00000000000114,-370.00000000000364,52.000000000007596,116.99999999999022,-385.0000000000051,-171.00000000001003,-231.0000000000034,135.00000000001845,,-1181.000000000016
2021.10.25,-79.00000000000685,42.999999999992156,-102.99999999999754,-134.99999999999625,215.00000000000963,-170.00000000000347,-292.0000000000016,188.9999999999947,138.00000000000477,-231.99999999999886,-26.999999999999247,429.9999999999784,-372.00000000001677,233.00000000001654,140.99999999999113,-218.00000000000352,-92.00000000000318,-131.99999999999878,182.0000000000155,,-281.0000000000232
2021.10.25,-114.0000000000141,105.99999999999454,-111.00000000000554,-153.00000000000313,222.00000000001108,-173.00000000000094,-448.99999999999807,192.99999999999872,153.99999999999858,-224.000000000002,-24.000000000001798,525.999999999982,-357.00000000000733,243.99999999999977,175.99999999998772,-338.99999999999864,-68.00000000000139,-82.00000000000429,195.00000000001182,,-278.000000000053
2021.10.25,-251.00000000000122,102.99999999999443,-221.99999999999997,-253.0000000000032,173.00000000000094,-200.00000000000017,-460.9999999999985,181.9999999999933,167.00000000000603,-251.99999999999667,-73.00000000000084,667.0000000000016,-326.0000000000041,202.9999999999976,286.00000000000136,-373.9999999999952,-132.0000000000099,-156.99999999999602,203.00000000001984,,-716.9999999999907
