date,USDCHF,GBPUSD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPAUD,EURCAD,EURAUD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.01.30,-101.00000000000664,-124.99999999999733,32.999999999994145,-44.99999999999504,8.999999999992347,57.999999999992724,-102.00000000000209,-108.00000000000809,-188.9999999999947,-70.99999999999883,64.99999999998174,80.99999999999774,-72.00000000000273,-81.99999999999363,-58.99999999999794,46.999999999997044,-53.999999999998494,,-715.0000000000399
2017.01.30,-117.00000000000044,-130.99999999999224,27.999999999994696,-2.999999999997449,30.999999999981043,-52.00000000000671,-112.000000000001,-108.00000000000809,-161.99999999999548,-12.000000000012001,75.99999999998718,139.00000000000023,-132.99999999999557,-80.99999999998886,-61.999999999995396,-11.00000000000545,-146.00000000000168,,-856.0000000000372
2017.01.30,-112.000000000001,156.00000000000057,17.000000000000348,-41.000000000002146,26.999999999999247,104.99999999998977,-87.00000000000374,-95.00000000000064,-193.99999999999417,400.00000000000034,131.99999999999878,165.9999999999995,15.000000000000568,-0.999999999990564,-39.999999999995595,93.99999999999409,-106.00000000000608,,435.99999999998926
2017.01.30,-80.00000000000229,178.00000000001148,-12.000000000000899,-24.999999999997247,23.999999999979593,122.99999999999045,-103.00000000000864,-40.00000000000669,-156.00000000000057,499.000000000005,116.99999999998934,279.00000000000705,91.99999999999875,56.000000000011596,-119.99999999999788,32.999999999994145,-77.00000000001594,,787.9999999999573
2017.01.30,-46.00000000000159,177.00000000000495,8.999999999992347,-2.000000000002,39.999999999995595,114.99999999999488,-80.99999999999774,-36.0000000000027,-107.00000000000153,455.0000000000054,182.99999999999983,309.0000000000037,90.99999999999397,107.00000000001353,-95.99999999999609,0.0,-141.99999999999767,,976.0000000000048
2017.01.30,-56.99999999999594,81.00000000001995,-45.000000000006146,18.0000000000069,51.99999999998539,78.99999999999352,-52.000000000007596,9.999999999998899,-90.99999999999665,445.99999999999085,252.99999999999213,409.99999999999926,115.99999999999966,99.00000000000375,-117.99999999999588,17.999999999995797,-99.00000000000463,,1119.9999999999795
2017.01.30,5.999999999994898,124.00000000001299,51.99999999999649,-46.00000000000159,82.99999999998863,217.9999999999893,-24.000000000001798,-38.0000000000047,-108.99999999999244,293.99999999999426,346.9999999999862,361.9999999999957,164.00000000000148,177.0000000000067,-19.999999999997797,75.9999999999983,-140.0000000000068,,1525.99999999996
2017.01.30,19.00000000000235,163.00000000000205,27.999999999994696,-24.999999999997247,111.99999999997878,258.99999999998613,-46.00000000000159,-6.0000000000060005,-81.9999999999932,391.000000000008,340.9999999999913,463.9999999999977,233.99999999999466,242.00000000000443,-89.99999999999008,14.000000000002899,-136.00000000000279,,1881.9999999999725
2017.01.30,-14.999999999998348,116.00000000000499,18.999999999991246,-31.999999999998696,103.99999999999298,247.99999999999045,-48.99999999999905,-21.999999999999797,-112.99999999999643,350.00000000000585,327.99999999999494,414.00000000000324,206.99999999999363,197.00000000000273,-71.99999999999429,51.99999999999649,-114.99999999999844,,1616.9999999999916
2017.01.30,-4.999999999999449,67.00000000001705,-26.000000000003798,-17.999999999995797,100.99999999999554,345.9999999999894,-64.0000000000085,29.000000000001247,-91.99999999999208,385.99999999999744,299.99999999998914,516.0000000000053,340.0000000000034,292.0000000000016,-156.99999999999602,4.999999999999449,-73.99999999999629,,1946.0000000000077
2017.01.30,4.999999999999449,111.00000000001664,-31.000000000003247,-5.999999999994898,98.99999999998244,355.99999999999454,-64.0000000000085,42.999999999993044,-73.00000000000084,453.99999999999886,299.99999999998914,536.9999999999875,364.0000000000043,322.00000000000273,-176.99999999999383,-21.999999999999797,-87.00000000001484,,2130.9999999999523
2017.01.30,-14.999999999998348,36.0000000000138,-29.000000000001247,34.000000000000696,99.99999999998899,280.9999999999917,-46.00000000000159,25.999999999992696,-47.9999999999925,353.0000000000033,323.99999999999096,502.00000000000244,287.9999999999967,296.0000000000065,-134.99999999999625,-31.999999999998696,-139.00000000000023,,1795.9999999999989
2017.01.30,-14.999999999998348,29.00000000001235,-9.999999999998899,14.999999999998348,111.99999999997878,226.99999999998965,-63.00000000000195,7.0000000000014495,-68.00000000000139,306.00000000000625,312.9999999999855,482.999999999989,225.9999999999991,231.00000000000875,-126.99999999999933,-26.000000000003798,-141.99999999999767,,1497.9999999999677
2017.01.30,-51.000000000001044,-32.999999999994145,-40.00000000000669,53.00000000000304,114.99999999999844,233.99999999999466,-73.00000000000084,12.000000000000899,-52.99999999999194,285.99999999998624,293.99999999999426,492.9999999999879,233.99999999999466,256.0000000000002,-146.99999999999713,-60.00000000000449,-153.00000000000313,,1366.999999999961
2017.01.30,-68.00000000000139,-35.999999999991594,-48.000000000003595,97.9999999999981,117.99999999999588,278.99999999999636,-70.99999999999883,5.999999999994898,-20.999999999993246,302.0000000000023,305.9999999999841,486.999999999993,262.00000000000045,324.0000000000123,-135.99999999999167,-95.00000000000064,-207.00000000000162,,1499.9999999999948
2017.01.30,-97.9999999999981,-69.9999999999923,-60.99999999999994,117.00000000000044,112.99999999998533,213.99999999999864,-73.00000000000084,-4.000000000004,-17.999999999995797,279.00000000000705,293.99999999999426,458.9999999999872,198.99999999999807,279.0000000000106,-125.99999999999278,-104.99999999999955,-229.00000000001253,,1169.9999999999857
2017.01.30,-114.99999999999844,-121.99999999999989,-80.00000000000229,121.99999999999989,116.99999999998934,219.99999999999886,-90.0000000000012,2.000000000002,-25.999999999992696,253.99999999999866,268.9999999999859,478.0000000000006,212.0000000000033,274.0000000000009,-155.99999999998948,-111.00000000000554,-207.00000000000162,,1040.9999999999884
2017.01.30,-104.00000000000409,-148.99999999999915,-59.000000000009045,97.00000000000264,84.99999999997954,227.99999999999443,-108.00000000000809,-9.999999999998899,-42.999999999993044,168.99999999999693,190.99999999998562,412.9999999999967,203.00000000000296,259.00000000000034,-164.99999999999292,-124.00000000000189,-201.00000000000674,,681.9999999999452
